2	66	308	1233	2458	4837	8454	12305	17641	24142	30835	38266	46027	54328	62757	70857	78739	86449	49423	56198	62974	69923	76375	57471	63667	69761	75835	63802	69198	74557	66127	71080	65013	69853	64982	69467	65686	70030	67032	71176	68582	72488	70419	68710	72437	70996	69823	68919	72311	71560	70993	70517	70126	69917	72937	72725	72623	72552	72459	72504	72554	72714	72936	73143	73344	73522	71783	72122	72519	72936	73247
12	206	1115	4145	8129	15854	27277	39629	55296	74061	92355	112050	131332	151580	171449	99703	115831	132216	148928	114763	129348	144274	122995	136478	149718	135512	147826	137991	130913	141869	136877	132848	143090	140503	138503	137379	136681	136668	136701	137357	138079	139013	140337	141544	143036	139471	141195	142879	140355	142593	140488	142843	141407	143712	142641	141726	144196	143513	142949	142644	145053	145016	144898	145006	145178	145376	145752	146065	146390	144911	145471
68	456	2201	8072	16066	31404	53356	76442	104971	138661	170618	204232	235821	268307	163240	190966	217555	244101	194170	218573	189400	212892	193347	214388	201838	221197	212462	207121	203394	201338	217833	216446	216598	217518	206264	208858	211556	214639	208533	212538	208461	212783	210153	214593	212956	211921	211090	215942	215767	215858	216297	216984	213548	214732	215915	217269	215344	217182	215533	217483	216484	218694	217967	217583	217364	217184	219615	219494	219553	219863	220163
132	842	3865	13763	27251	52319	86969	122776	166039	216034	262156	309771	353324	216980	258103	297205	233445	269063	304704	267727	299560	277785	261908	290762	280875	275262	273127	273290	273961	275565	279080	282484	271789	278059	270944	277893	273496	280805	278140	277108	276165	276268	277042	278304	280048	282257	284306	281007	283816	281859	280404	284022	283444	283044	283235	283343	283919	284786	285598	286769	284821	286510	288122	287069	286304	288236	288005	287600	289810	289896	290007
194	1274	5710	20140	40080	76606	126256	176477	235711	302654	363193	424091	256396	311047	364046	289875	335531	380739	338542	313887	353061	339530	329459	326301	325527	327068	330905	336460	342351	348224	337240	345399	339051	349446	345613	343883	342726	343294	344271	346651	349034	344176	347982	345040	349776	348702	347838	347467	347718	348832	350204	351531	353412	351442	354005	352463	355457	355204	354694	355033	355395	356240	357041	358118	356488	357757	356766	358404	357829	359800	359590
266	1756	7956	28210	56390	106633	173515	240492	317507	403221	478923	553941	352257	421393	486868	397587	454350	405603	380107	429935	413469	407334	403318	405637	409511	415365	423319	406995	417838	407361	420923	415371	413720	413790	414717	417052	419986	413286	418077	414829	420616	419109	418623	418875	419940	421974	423909	420495	423681	422239	426146	425856	425863	426365	427375	428391	426272	428476	427016	429796	429228	429393	429283	429824	430563	431267	432606	433708	432581	434519	433777
362	2396	10770	37545	74671	139554	225426	309473	405317	509790	600976	376334	455276	538739	441448	512669	458654	523638	494081	478239	471507	473349	475335	482866	492193	470232	484913	474531	490767	484595	483200	482571	485261	489508	480449	487380	482517	490873	488863	489147	489565	491304	494122	489988	494287	492939	491871	497532	497791	499108	495495	498028	496085	499233	498664	498084	502467	499579	500450	502237	503908	503145	505247	505059	505015	505160	506059	506633	507742	509257	510541
458	3023	13748	47681	94561	175270	281111	383475	498850	622691	729694	471252	565268	462658	551460	496640	573337	542120	529548	525649	527964	537672	545817	559647	537176	555432	545064	540485	562392	560291	563211	548271	555589	564090	558422	556061	554651	555768	557612	561454	565314	561636	568164	566890	566944	568796	570281	566515	569746	568413	572980	573220	573614	574833	572517	574500	577376	576763	576117	576694	577301	578562	579714	581769	580814	582890	583067	582888	585738	584183	584925
574	3790	16868	58354	115542	213085	339722	460988	595846	739248	454505	570204	678931	562960	665310	603380	571452	656708	642810	638747	641627	597878	612745	632919	614139	637790	630731	629001	629867	632653	619341	627649	621692	634780	632804	633579	635426	639359	633017	640175	637423	636961	638157	640205	643281	640695	645107	643813	643850	645026	647046	649767	647723	651463	651169	651115	652325	653943	655242	654246	656800	656871	656888	660916	658914	659906	661966	663453	662776	663076	665520
689	4554	20023	69347	137520	252704	401052	541269	696019	858447	540101	672820	795920	666447	782479	713445	678427	665992	668400	676320	689535	710514	676164	702763	688669	682086	714104	687256	694024	701435	713817	704822	701897	702565	704315	708706	714066	708825	717020	716437	716608	718963	713900	718552	716523	716755	717293	718722	721198	724845	723477	723381	723675	724982	727012	729056	728020	732044	731696	732651	733592	735623	734250	737024	736755	739798	737819	741391	739738	741439	742922
