74	520	2235	7812	15286	28985	47540	67291	91368	119257	145452	173119	198781	225437	139176	161823	183294	142753	163498	183090	158050	177172	159667	176883	165179	180904	172497	187564	181040	176064	189907	185872	183366	182084	193862	192692	191811	191692	191661	192267	192884	193891	195189	196374	197818	199375	200777	202281	203842	199080	200818
260	1654	7408	24767	48818	90641	147272	203263	268640	339842	403198	245509	300455	358592	289275	339318	387122	345518	323098	365054	350505	344082	379474	375277	373426	374245	377281	381855	386423	369746	378034	385310	376698	386043	394970	389896	386103	396182	393822	392926	402571	402344	402616	403252	404491	406380	408009	409902	412162	414621	417265
528	3475	14824	49630	97182	177908	283375	383876	495737	612914	381784	479856	570111	475434	561632	509555	482691	554312	542155	537499	539420	548233	555111	567128	543062	559394	577106	567020	560257	578898	577528	576591	578649	582602	586518	592162	598131	591549	598807	595362	603580	601834	611213	610516	611139	612828	622867	624391	626639	629295	624794
945	6158	25029	81279	157554	284155	443836	591840	751009	475193	610365	747780	623532	576794	692851	667027	658075	662926	677358	694331	657665	688783	713691	701618	695728	728644	730286	735983	742460	726438	739621	751494	747098	763348	762029	763809	766246	770575	775200	782015	788195	796021	793795	802756	802186	812609	813200	814517	816771	820102	831102
1389	9087	36870	119945	231019	411610	632040	830556	1037753	697038	874469	742899	685521	843294	825869	826403	838484	861936	815052	854356	834626	884253	876020	880428	889178	901488	887002	908885	902836	924496	927160	930287	938216	948042	957934	954331	967241	967486	968884	986099	989473	995231	991284	998692	1007466	1007734	1016898	1017849	1028488	1031437	1034707
1881	12367	50904	167066	320789	564269	852413	1103553	704655	956894	809594	1022004	955270	951092	969157	996780	1030892	1075003	1040288	1024309	1084645	1091799	1096894	1070521	1094624	1084763	1117213	1120872	1127063	1134787	1126651	1141672	1140928	1162716	1165918	1172983	1180949	1176955	1188251	1189395	1203038	1206486	1212117	1218207	1225376	1225064	1233650	1242810	1244411	1247542	1250956
2464	16352	68610	225875	430422	746793	1108618	1414524	950801	1258480	1089688	1044061	1269101	1267125	1132521	1188190	1245454	1212437	1208593	1215696	1233566	1265607	1291228	1282821	1282490	1290309	1305737	1326424	1319718	1317541	1348443	1354257	1346310	1363193	1361886	1365893	1386528	1380226	1389997	1402934	1403015	1417982	1423449	1429210	1427062	1437114	1446172	1447518	1458696	1462978	1467231
3218	20937	88704	291229	551192	944505	1381785	1741848	1215492	1578807	1389142	1340645	1338050	1387836	1450196	1378265	1460130	1445145	1456868	1477562	1443662	1494804	1483956	1494006	1509163	1494488	1526105	1531279	1538863	1549682	1546622	1566261	1571540	1581708	1574921	1591055	1591903	1597870	1604891	1616414	1627195	1629300	1634702	1640293	1648121	1658295	1667518	1669134	1672519	1686150	1691611
3998	26228	111568	365376	686027	1160561	1674909	2089182	1504716	1363803	1712977	1662197	1662599	1515713	1616738	1574211	1681516	1685737	1628725	1674128	1660692	1673446	1683751	1712182	1702560	1705520	1720051	1742203	1737292	1763082	1773883	1762749	1782869	1787513	1793651	1805918	1818960	1821687	1826029	1835793	1845164	1846672	1851601	1867740	1875523	1876702	1886176	1889191	1902178	1908665	1915493
4786	32097	136295	444917	829434	1388597	1981072	1336494	1807350	1655410	1613953	1663114	1728168	1839090	1778477	1765095	1899557	1821933	1882141	1866049	1873594	1905203	1878651	1926852	1933364	1950158	1944037	1949261	1959197	1973175	1974832	1977594	1990742	2009633	2010152	2018382	2027938	2042872	2044735	2052931	2060652	2073212	2077210	2082523	2090514	2102064	2112207	2115043	2120059	2127816	2136270
