10	70	224	780	1557	3076	5194	7615	10898	15097	19214	23893	28745	34231	39403	44641	49473	54542	59646	34692	38941	43380	47555	51869	39391	43106	47076	50771	42625	45922	49383	43569	46800	49903	45685	48617	45185	47984	45341	48009	45796	48304	46518	48808	47300	49597	48246	47185	49233	48378	47558
34	200	714	2479	5047	9771	16526	23907	33740	45515	57256	69976	82465	95746	108235	119902	71347	81989	92620	102701	79288	88969	97761	83936	92298	100414	90916	98717	91727	98773	93761	89914	96657	93885	91760	97841	96186	95015	94217	93768	93497	93454	93669	93854	94212	94827	95446	96003	96757	97650	95259
58	336	1377	4771	9831	19023	32076	46272	64326	85741	106328	128067	148570	169659	189044	118237	135139	152602	120011	135573	150594	131462	144754	132222	145168	136307	148686	142593	138214	148938	145873	143772	142734	142508	142433	142949	143651	144761	145795	147504	142703	144647	146917	143886	146335	144294	146702	145096	147672	146723	146027
84	540	2267	7760	15899	30564	51365	73489	100540	132124	161717	192545	221080	250040	158199	183566	207440	164932	187741	209231	183722	204016	187363	177315	194869	187780	183805	181627	196944	194933	194768	194821	196008	187048	189432	192375	195419	190399	194148	190804	194657	192547	191114	195447	194691	194428	194285	194415	194846	195502	196414
124	887	3786	12923	26224	49846	82416	115695	154820	198822	238378	278501	314560	205357	239309	271670	220723	250116	223113	249522	232333	223184	245357	239202	235471	234087	234811	236677	239192	227822	232577	237123	231492	237574	234039	232058	230812	237636	237224	237751	232549	234131	236091	238087	235854	238586	236979	236039	239207	238936	238828
192	1311	5776	19922	39951	74830	121208	166729	218749	275424	324960	374338	244516	289451	236320	274808	245138	280197	264223	296153	285467	281571	278808	279975	282492	266945	273707	280805	273487	281045	277691	275317	275006	275990	276968	279021	281346	277832	281193	279465	278091	282960	282865	283164	279764	281560	283054	281330	283621	282857	282606
250	1772	7956	27482	54884	101529	162317	220644	285398	354808	414115	270868	322443	376183	314581	360743	326298	309539	302582	339754	335340	306572	310590	318028	326008	315566	326122	321728	319295	318339	319693	321364	324704	320170	324783	322731	328184	327824	327917	323761	325388	327679	326070	329344	329011	329353	329750	330743	331935	330391	332405
324	2301	10309	35513	70701	129821	205386	276495	354203	435686	275055	340980	401684	336935	394317	359538	341481	389567	381908	379311	380797	356706	364877	375690	365749	360052	374879	374038	374528	363804	368761	373414	369987	368753	368118	369256	370979	373693	370754	375127	373942	373977	375010	376099	378135	376864	375762	379015	379086	379911	380998
404	2878	12727	44163	87636	159259	249416	333214	423500	517415	335916	412289	482279	409369	375939	435889	416074	409655	410798	415246	422938	403378	415317	406097	422612	418998	419461	407222	412240	417644	413895	411248	421152	413481	415744	419493	416429	421969	421353	422518	423568	420792	423982	423009	422904	424059	425028	426561	425276	428080	428233
476	3444	15165	52767	104133	188482	293452	389563	492844	598809	396393	483561	402136	481330	443951	427725	489726	482676	484561	446615	459766	477110	461375	455289	453395	454818	459178	466010	458854	467153	465598	464883	467348	461923	466473	464765	471365	472060	466862	470254	473313	472332	472562	473439	475311	473967	472909	476461	476782	477967	476328
